iter	Passed	Remaining
0	59	29739
1	59	14893
2	60	9950
3	60	7474
4	60	5988
5	60	4997
6	60	4294
7	61	3763
8	61	3346
9	61	3012
10	61	2741
11	61	2514
12	62	2325
13	62	2158
14	62	2015
15	62	1893
16	62	1784
17	62	1686
18	63	1598
19	63	1519
20	63	1447
21	63	1381
22	63	1323
23	64	1269
24	64	1220
25	64	1174
26	64	1132
27	64	1093
28	64	1054
29	65	1020
30	65	987
31	65	957
32	65	929
33	65	903
34	66	878
35	66	854
36	66	831
37	66	811
38	66	790
39	67	771
40	67	753
41	67	735
42	67	719
43	67	703
44	68	687
45	68	673
46	68	658
47	68	645
48	68	632
49	68	620
50	69	608
51	69	598
52	69	587
53	69	576
54	70	566
55	70	556
56	70	547
57	70	538
58	70	529
59	70	520
60	71	512
61	71	504
62	71	496
63	71	488
64	71	481
65	72	474
66	72	467
67	72	460
68	72	454
69	72	447
70	73	441
71	73	435
72	73	429
73	73	424
74	73	418
75	73	412
76	74	407
77	74	402
78	74	396
79	74	391
80	74	387
81	75	382
82	75	377
83	75	373
84	75	368
85	75	364
86	75	359
87	75	355
88	76	351
89	76	347
90	76	343
91	76	340
92	76	336
93	77	332
94	77	329
95	77	325
96	77	322
97	77	319
98	78	316
99	78	313
100	78	310
101	78	307
102	78	304
103	79	301
104	79	298
105	79	295
106	79	292
107	79	289
108	80	287
109	80	284
110	80	281
111	80	279
112	80	276
113	80	274
114	81	271
115	81	269
116	81	266
117	81	264
118	81	261
119	81	259
120	82	257
121	82	255
122	82	253
123	82	250
124	82	248
125	83	246
126	83	244
127	83	242
128	83	240
129	83	238
130	84	236
131	84	235
132	84	233
133	84	231
134	84	229
135	85	227
136	85	226
137	85	224
138	85	222
139	85	221
140	86	219
141	86	218
142	86	216
143	86	214
144	87	213
145	87	211
146	87	210
147	87	208
148	87	207
149	88	205
150	88	204
151	88	202
152	88	201
153	88	199
154	89	198
155	89	196
156	89	195
157	89	194
158	89	192
159	89	191
160	90	189
161	90	188
162	90	187
163	90	185
164	90	184
165	91	183
166	91	181
167	91	180
168	91	179
169	91	178
170	92	177
171	92	175
172	92	174
173	92	173
174	92	172
175	93	171
176	93	170
177	93	168
178	93	167
179	93	166
180	93	165
181	94	164
182	94	164
183	95	163
184	95	162
185	95	161
186	95	160
187	95	159
188	96	158
189	96	157
190	96	156
191	96	154
192	96	153
193	96	152
194	97	151
195	97	150
196	97	149
197	97	148
198	97	148
199	98	147
200	98	146
201	98	145
202	98	144
203	99	143
204	99	142
205	99	141
206	99	140
207	99	140
208	99	139
209	100	138
210	100	137
211	100	136
212	100	135
213	101	135
214	101	134
215	101	133
216	101	132
217	101	131
218	101	130
219	102	129
220	102	129
221	102	128
222	102	127
223	102	126
224	103	125
225	103	125
226	103	124
227	103	123
228	103	122
229	104	122
230	104	121
231	104	120
232	104	119
233	104	119
234	105	118
235	105	117
236	105	117
237	105	116
238	105	115
239	106	115
240	106	114
241	106	113
242	106	113
243	107	112
244	107	111
245	107	110
246	107	110
247	107	109
248	107	108
249	108	108
250	108	107
251	108	106
252	108	106
253	108	105
254	109	104
255	109	104
256	109	103
257	109	102
258	109	102
259	110	101
260	110	101
261	110	100
262	110	99
263	110	99
264	110	98
265	111	97
266	111	97
267	111	96
268	111	96
269	112	95
270	112	94
271	112	94
272	112	93
273	112	93
274	113	92
275	113	91
276	113	91
277	113	90
278	113	90
279	114	89
280	114	89
281	114	88
282	114	87
283	114	87
284	114	86
285	115	86
286	115	85
287	115	84
288	115	84
289	115	83
290	116	83
291	116	82
292	116	82
293	116	81
294	116	81
295	117	80
296	117	80
297	117	79
298	117	79
299	117	78
300	117	77
301	118	77
302	118	76
303	118	76
304	118	75
305	118	75
306	119	74
307	119	74
308	119	73
309	119	73
310	119	72
311	120	72
312	120	71
313	120	71
314	120	70
315	120	70
316	121	69
317	121	69
318	121	68
319	121	68
320	121	67
321	121	67
322	122	66
323	122	66
324	122	65
325	122	65
326	122	65
327	123	64
328	123	64
329	123	63
330	123	63
331	123	62
332	124	62
333	124	61
334	124	61
335	124	60
336	124	60
337	125	59
338	125	59
339	125	59
340	125	58
341	125	58
342	126	57
343	126	57
344	126	56
345	126	56
346	126	55
347	126	55
348	127	55
349	127	54
350	127	54
351	127	53
352	127	53
353	128	52
354	128	52
355	128	51
356	128	51
357	128	51
358	129	50
359	129	50
360	129	49
361	129	49
362	129	49
363	130	48
364	130	48
365	130	47
366	130	47
367	130	46
368	131	46
369	131	46
370	131	45
371	131	45
372	132	44
373	132	44
374	132	44
375	132	43
376	132	43
377	133	42
378	133	42
379	133	42
380	133	41
381	133	41
382	133	40
383	134	40
384	134	40
385	134	39
386	134	39
387	134	38
388	135	38
389	135	38
390	135	37
391	135	37
392	135	36
393	135	36
394	136	36
395	136	35
396	136	35
397	136	35
398	136	34
399	137	34
400	137	33
401	137	33
402	137	33
403	137	32
404	137	32
405	138	31
406	138	31
407	138	31
408	138	30
409	138	30
410	139	30
411	139	29
412	139	29
413	139	28
414	139	28
415	139	28
416	140	27
417	140	27
418	140	27
419	140	26
420	140	26
421	141	26
422	141	25
423	141	25
424	141	24
425	141	24
426	141	24
427	142	23
428	142	23
429	142	23
430	142	22
431	142	22
432	143	22
433	143	21
434	143	21
435	143	21
436	143	20
437	144	20
438	144	20
439	144	19
440	144	19
441	144	18
442	144	18
443	145	18
444	145	17
445	145	17
446	145	17
447	145	16
448	145	16
449	146	16
450	146	15
451	146	15
452	146	15
453	146	14
454	147	14
455	147	14
456	147	13
457	147	13
458	147	13
459	148	12
460	148	12
461	148	12
462	148	11
463	148	11
464	148	11
465	149	10
466	149	10
467	149	10
468	149	9
469	149	9
470	149	9
471	150	8
472	150	8
473	150	8
474	150	7
475	150	7
476	150	7
477	151	6
478	151	6
479	151	6
480	151	5
481	151	5
482	151	5
483	152	5
484	152	4
485	152	4
486	152	4
487	152	3
488	152	3
489	153	3
490	153	2
491	153	2
492	153	2
493	153	1
494	153	1
495	154	1
496	154	0
497	154	0
498	154	0
499	154	0
